Original title,Producing country,Production year,Directors,Admissions null-null,Total EU27+GB since 1996
Cinderella,US,1950,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske", 415 382, 415 382
Broken Arrow,US,1950,Delmer Daves, 94 274, 94 274
Rashômon,JP,1950,Akira Kurosawa, 83 546, 83 546
All about Eve,US,1950,Joseph L. Mankiewicz, 56 726, 56 726
Das kalte Herz,DD,1950,Paul Verhoeven, 47 932, 47 932
Sunset Blvd.,US,1950,Billy Wilder, 45 033, 45 033
Los olvidados,MX,1950,Luis Buñuel, 23 123, 23 123
Jeannot l'intrépide,FR,1950,"Jean Image, Charles Frank", 22 254, 22 254
The Flame and the Arrow,US,1950,Jacques Tourneur, 21 290, 21 290
Das doppelte Lottchen,DE,1950,Josef von Báky, 20 885, 20 885
The Asphalt Jungle,US,1950,John Huston, 19 282, 19 282
In a Lonely Place,US,1950,Nicholas Ray, 12 232, 12 232
Stromboli,"IT, US",1950,Roberto Rossellini, 11 650, 11 650
So Long at the Fair,GB,1950,"Antony Darnborough, Terence Fisher", 10 095, 10 095
Where the Sidewalk Ends,US,1950,Otto Preminger, 8 955, 8 955
Winchester 73,US,1950,Anthony Mann, 7 956, 7 956
La ronde,FR,1950,Max Ophüls, 7 177, 7 177
House by the River,US,1950,Fritz Lang, 4 466, 4 466
Young Man with a Horn,US,1950,Michael Curtiz, 4 407, 4 407
Night and the City,GB,1950,Jules Dassin, 4 393, 4 393
"Francesco, giullare di Dio",IT,1950,Roberto Rossellini, 4 187, 4 187
Side Street,US,1950,Anthony Mann, 3 915, 3 915
Munekata kyôdai,JP,1950,Yasujirô Ozu, 3 852, 3 852
Yuki fujin ezu,JP,1950,Kenji Mizoguchi, 3 676, 3 676
Shûbun,JP,1950,Akira Kurosawa, 3 124, 3 124
Rio Grande,US,1950,John Ford, 3 118, 3 118
Panic in the Streets,US,1950,Elia Kazan, 2 765, 2 765
Chain Lightning,US,1950,Stuart Heisler, 2 517, 2 517
Cronaca di un amore,IT,1950,Michelangelo Antonioni, 2 266, 2 266
Never Fear,US,1950,Ida Lupino, 1 351, 1 351
Stage Fright,GB,1950,Alfred Hitchcock, 1 326, 1 326
Miquette et sa mère,FR,1950,Henri-Georges Clouzot, 1 268, 1 268
Il cammino della speranza,IT,1950,Pietro Germi, 1 199, 1 199
Agustina de Aragón,ES,1950,Juan de Orduña,  999,  999
Till glädje,SE,1950,Ingmar Bergman,  992,  992
Poslední výstrel,"CZ, SK",1950,Jirí Weiss,  852,  852
Outrage,US,1950,Ida Lupino,  826,  826
Whirlpool,US,1950,Otto Preminger,  722,  722
La beauté du diable,"FR, IT",1950,René Clair,  718,  718
Kon-Tiki,"NO, SE",1950,Thor Heyerdahl,  672,  672
Crisis,US,1950,Richard Brooks,  530,  530
Le trésor de Cantenac,FR,1950,Sacha Guitry,  395,  395
Colt .45,US,1950,Edwin L. Marin,  317,  317
Stars in My Crown,US,1950,Jacques Tourneur,  303,  303
De Røde heste,DK,1950,"Jon Iversen, Alice O'Fredericks",  223,  223
Les enfants terribles,FR,1950,Jean-Pierre Melville,  215,  215
Summer Stock,US,1950,Charles Walters,  200,  200
Die lustigen Weiber von Windsor,DD,1950,Georg Wildhagen,  194,  194
Mosekongen,DK,1950,"Jon Iversen, Alice O'Fredericks",  194,  194
Café Paradis,DK,1950,"Bodil Ipsen, Lau Lauritzen",  174,  174
È primavera...,IT,1950,Renato Castellani,  164,  164
Luci del varietà,IT,1950,"Federico Fellini, Alberto Lattuada",  155,  155
Montana,US,1950,"Ray Enright, Raoul Walsh",  111,  111
Katka,"CZ, SK",1950,Ján Kadár,  103,  103
No Way Out,US,1950,Joseph L. Mankiewicz,  94,  94
Rasuna valea,RO,1950,Paul Calinescu,  93,  93
Devil's Doorway,US,1950,Anthony Mann,  92,  92
Swiss Tour,"CH, US",1950,Leopold Lindtberg,  91,  91
The Gunfighter,US,1950,Henry King,  77,  77
Bajaja,"CZ, SK",1950,Jirí Trnka,  63,  63
El rey del barrio,MX,1950,Gilberto Martínez Solares,  59,  59
Prélude à la gloire,FR,1950,Georges Lacombe,  57,  57
Guernica,FR,1950,"Robert Hessens, Alain Resnais",  56,  56
Dalolva szép az élet,HU,1950,Márton Keleti,  48,  48
