bx_country;long_name
Albania;Albania
Argentina;Argentina
Aruba;Aruba
Australia;Australia
Austria;Austria
Bahrain;Bahrain
Baltic states;Baltic states
Bangladesh;Bangladesh
Belgium;Belgium
Bolivia;Plurinational State of Bolivia
Bosnia;Bosnia and Herzegovina
Bosnia and herzegovina;Bosnia and Herzegovina
Brazil;Brazil
Bulgaria;Bulgaria
Cambodia;Cambodia
Canada;Canada
Central america;Central America
Central america+;Central America
Chile;Chile
China;China
Colombia;Colombia
Costa rica;Costa Rica
Croatia;Croatia
CuraÃ§ao;Curaçao
Curaçao;Curaçao
Cyprus;Cyprus
Czech republic;Czechia
Czech republic/slovakia;Czech Republic/Slovakia
Denmark;Denmark
Djibouti;Djibouti
Domestic;United States of America
Dominican republic;Dominican Republic
E/w africa;E/W Africa
East africa;East Africa
Ecuador;Ecuador
Egypt;Egypt
El salvador;El Salvador
Estonia;Estonia
Ethiopia;Ethiopia
Finland;Finland
France;France
Germany;Germany
Ghana;Ghana
Greece;Greece
Greece and cyprus;Greece and Cyprus
Guatemala;Guatemala
Honduras;Honduras
Hong kong;Hong Kong
Hungary;Hungary
Iceland;Iceland
India;India
Indonesia;Indonesia
Iraq;Iraq
Ireland;Ireland
Israel;Israel
Italy;Italy
Jamaica;Jamaica
Japan;Japan
Jordan;Jordan
Kenya;Kenya
Kuwait;Kuwait
Laos;Laos
Latvia;Latvia
Lebanon;Lebanon
Lebanon/united arab emirates;Lebanon/United Arab Emirates
Lesser antilles;Netherlands Antilles
Lithuania;Lithuania
Malaysia;Malaysia
Malta;Malta
Mauritius;Mauritius
Mexico;Mexico
Middle east;Middle East
Middle east other;Middle East
Middle east/uae;Middle East
Mongolia;Mongolia
Morocco;Morocco
Netherlands;Kingdom of the Netherlands
Netherlands antilles;Netherlands Antilles
New caledonia;New Caledonia
New zealand;New Zealand
Nicaragua;Nicaragua
Nigeria;Nigeria
North macedonia;North Macedonia
Norway;Norway
Oman;Oman
Pakistan;Pakistan
Palestine;Palestine
Panama;Panama
Paraguay;Paraguay
Peru;Peru
Philippines;Philippines
Poland;Poland
Portugal;Portugal
Puerto rico;Puerto Rico
Qatar;Qatar
Reunion;Réunion
Romania;Romania
Russia;Russian Federation
Russia/cis;Russia/CIS
Russia/cis/ukraine;Russia/CIS/Ukraine
S/e/w africa;S/E/W Africa
Saudi arabia;Saudi Arabia
Serbia and montenegro;Serbia and Montenegro
Singapore;Singapore
Slovakia;Slovakia
Slovenia;Slovenia
South africa;South Africa
South africa/nigeria;South Africa/Nigeria
South korea;South Korea
Spain;Spain
Sri lanka;Sri Lanka
Sweden;Sweden
Switzerland;Switzerland
Switzerland french;Switzerland
Switzerland french/italian;Switzerland
Switzerland german;Switzerland
Switzerland italian;Switzerland
Syria;Syrian Arab Republic
TÃ¼rkiye;Turkey
Taiwan;Taiwan
Thailand;Thailand
Trinidad & tobago;Trinidad and Tobago
Tunisia;Tunisia
Türkiye;Turkey
Ukraine;Ukraine
United arab emirates;United Arab Emirates
United kingdom;United Kingdom of Great Britain and Northern Ireland
Uruguay;Uruguay
Venezuela;Bolivarian Republic of Venezuela
Vietnam;Vietnam
West indies;West Indies
World;World
Yugoslavia;Yugoslavia
