,original title,producing country,production year,directors,visitors
0,Cinderella,US,1950,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",415382
1,Broken Arrow,US,1950,Delmer Daves,94274
2,Rashômon,JP,1950,Akira Kurosawa,83546
3,All about Eve,US,1950,Joseph L. Mankiewicz,56726
4,Das kalte Herz,DD,1950,Paul Verhoeven,47932
5,Sunset Blvd.,US,1950,Billy Wilder,45033
6,Los olvidados,MX,1950,Luis Buñuel,23123
7,Jeannot l'intrépide,FR,1950,"Jean Image, Charles Frank",22254
8,The Flame and the Arrow,US,1950,Jacques Tourneur,21290
9,Das doppelte Lottchen,DE,1950,Josef von Báky,20885
10,The Asphalt Jungle,US,1950,John Huston,19282
11,In a Lonely Place,US,1950,Nicholas Ray,12232
12,Stromboli,"IT, US",1950,Roberto Rossellini,11650
13,So Long at the Fair,GB,1950,"Antony Darnborough, Terence Fisher",10095
14,Where the Sidewalk Ends,US,1950,Otto Preminger,8955
15,Winchester 73,US,1950,Anthony Mann,7956
16,La ronde,FR,1950,Max Ophüls,7177
17,House by the River,US,1950,Fritz Lang,4466
18,Young Man with a Horn,US,1950,Michael Curtiz,4407
19,Night and the City,GB,1950,Jules Dassin,4393
20,"Francesco, giullare di Dio",IT,1950,Roberto Rossellini,4187
21,Side Street,US,1950,Anthony Mann,3915
22,Munekata kyôdai,JP,1950,Yasujirô Ozu,3852
23,Yuki fujin ezu,JP,1950,Kenji Mizoguchi,3676
24,Shûbun,JP,1950,Akira Kurosawa,3124
25,Rio Grande,US,1950,John Ford,3118
26,Panic in the Streets,US,1950,Elia Kazan,2765
27,Chain Lightning,US,1950,Stuart Heisler,2517
28,Cronaca di un amore,IT,1950,Michelangelo Antonioni,2266
29,Never Fear,US,1950,Ida Lupino,1351
30,Stage Fright,GB,1950,Alfred Hitchcock,1326
31,Miquette et sa mère,FR,1950,Henri-Georges Clouzot,1268
32,Il cammino della speranza,IT,1950,Pietro Germi,1199
33,Agustina de Aragón,ES,1950,Juan de Orduña,999
34,Till glädje,SE,1950,Ingmar Bergman,992
35,Poslední výstrel,"CZ, SK",1950,Jirí Weiss,852
36,Outrage,US,1950,Ida Lupino,826
37,Whirlpool,US,1950,Otto Preminger,722
38,La beauté du diable,"FR, IT",1950,René Clair,718
39,Kon-Tiki,"NO, SE",1950,Thor Heyerdahl,672
40,Crisis,US,1950,Richard Brooks,530
41,Le trésor de Cantenac,FR,1950,Sacha Guitry,395
42,Colt .45,US,1950,Edwin L. Marin,317
43,Stars in My Crown,US,1950,Jacques Tourneur,303
44,De Røde heste,DK,1950,"Jon Iversen, Alice O'Fredericks",223
45,Les enfants terribles,FR,1950,Jean-Pierre Melville,215
46,Summer Stock,US,1950,Charles Walters,200
47,Die lustigen Weiber von Windsor,DD,1950,Georg Wildhagen,194
48,Mosekongen,DK,1950,"Jon Iversen, Alice O'Fredericks",194
49,Café Paradis,DK,1950,"Bodil Ipsen, Lau Lauritzen",174
50,È primavera...,IT,1950,Renato Castellani,164
51,Luci del varietà,IT,1950,"Federico Fellini, Alberto Lattuada",155
52,Montana,US,1950,"Ray Enright, Raoul Walsh",111
53,Katka,"CZ, SK",1950,Ján Kadár,103
54,No Way Out,US,1950,Joseph L. Mankiewicz,94
55,Rasuna valea,RO,1950,Paul Calinescu,93
56,Devil's Doorway,US,1950,Anthony Mann,92
57,Swiss Tour,"CH, US",1950,Leopold Lindtberg,91
58,The Gunfighter,US,1950,Henry King,77
59,Bajaja,"CZ, SK",1950,Jirí Trnka,63
60,El rey del barrio,MX,1950,Gilberto Martínez Solares,59
61,Prélude à la gloire,FR,1950,Georges Lacombe,57
62,Guernica,FR,1950,"Robert Hessens, Alain Resnais",56
63,Dalolva szép az élet,HU,1950,Márton Keleti,48
64,Caged,US,1950,John Cromwell,31
65,Flicka och hyacinter,SE,1950,Hasse Ekman,21
66,Der Rat der Götter,DD,1950,Kurt Maetzig,21
67,La posesión,MX,1950,Julio Bracho,20
68,El último caballo,ES,1950,Edgar Neville,19
69,Union Station,US,1950,Rudolph Maté,17
70,The Jackie Robinson Story,US,1950,Alfred E. Green,17
71,Justice est faite,FR,1950,André Cayatte,17
72,Non c'è pace tra gli ulivi,IT,1950,Giuseppe De Santis,8
73,Romanzo d'amore,"IT, FR",1950,Duilio Coletti,6
74,Moje miasto,PL,1950,Wojciech Has,4
75,Rågens rike,SE,1950,Ivar Johansson,2
76,L'enfant des neiges,FR,1951,Albert Guyot,94816
77,Strangers on a Train,US,1951,Alfred Hitchcock,48664
78,The Day the Earth Stood Still,US,1951,Robert Wise,36385
79,An American in Paris,US,1951,Vincente Minnelli,29232
80,A Streetcar Named Desire,US,1951,Elia Kazan,27396
81,M,US,1951,Joseph Losey,25036
82,Pandora and the Flying Dutchman,US,1951,Albert Lewin,21478
83,Alice in Wonderland,US,1951,"Clyde Geronimi, Wilfred Jackson, Jack Kinney, Hamilton Luske",21412
84,The African Queen,US,1951,John Huston,17154
85,The River,"US, FR, IN",1951,Jean Renoir,15403
86,The Tales of Hoffmann,GB,1951,"Michael Powell, Emeric Pressburger",14920
87,People Will Talk,US,1951,Joseph L. Mankiewicz,14448
88,Ace in the Hole - Big Carnival,US,1951,Billy Wilder,14198
89,La poison,FR,1951,Sacha Guitry,12836
90,Anne of the Indies,US,1951,Jacques Tourneur,8414
91,Distant Drums,US,1951,Raoul Walsh,8218
92,The Guest,US,1951,Harve Foster,7564
93,A Place in the Sun,US,1951,George Stevens,7493
94,Hakuchi,JP,1951,Akira Kurosawa,7221
95,Oyû-sama,JP,1951,Kenji Mizoguchi,6738
96,Bakushû,JP,1951,Yasujirô Ozu,6308
97,The Tall Target,US,1951,Anthony Mann,4959
98,Sommarlek,SE,1951,Ingmar Bergman,4796
99,The Lavender Hill Mob,GB,1951,Charles Crichton,3842
100,Miracolo a Milano,IT,1951,Vittorio De Sica,3687
101,Bellissima,IT,1951,Luchino Visconti,3520
102,Journal d'un curé de campagne,FR,1951,Robert Bresson,3265
103,The Man in the White Suit,GB,1951,Alexander Mackendrick,2663
104,Showboat,US,1951,George Sidney,2511
105,The Enforcer,US,1951,"Bretaigne Windust, Raoul Walsh",2506
106,Olivia,FR,1951,Jacqueline Audry,2444
107,Knock,FR,1951,Guy Lefranc,2413
108,Detective Story,US,1951,William Wyler,2304
109,L' Auberge rouge,FR,1951,Claude Autant-Lara,2172
110,Fröken Julie,SE,1951,Alf Sjöberg,2088
111,Parigi è sempre Parigi,"IT, FR",1951,Luciano Emmer,1850
112,The Sword of d'Artagnan,US,1951,Budd Boetticher,1704
113,Topaze,FR,1951,Marcel Pagnol,1535
114,Bullfighter and the Lady,US,1951,Budd Boetticher,1433
115,He Ran All the Way,US,1951,John Berry,1425
116,Der Untertan,DD,1951,Wolfgang Staudte,1115
117,Scrooge,GB,1951,Brian Desmond Hurst,920
118,Juliette ou La clef des songes,FR,1951,Marcel Carné,778
119,Susana,MX,1951,Luis Buñuel,776
120,Mød mig paa Cassiopeia,DK,1951,Torben Anton Svendsen,713
121,Father's Little Dividend,US,1951,Vincente Minnelli,642
122,En la palma de tu mano,MX,1951,Roberto Gavaldón,589
123,El Suavecito,MX,1951,Fernando Méndez,558
124,On Dangerous Ground,US,1951,"Ida Lupino, Nicholas Ray",482
125,La hija del engaño,MX,1951,Luis Buñuel,474
126,Musashino fujin,JP,1951,Kenji Mizoguchi,439
127,Quo Vadis,US,1951,"Mervyn LeRoy, Anthony Mann",409
128,Hon dansade en sommar,SE,1951,Arne Mattsson,375
129,A kiskakas gyémánt félkrajcárja,HU,1951,"Gyula Macskássy, Edit Fekete",361
130,Esa pareja feliz,ES,1951,"Juan Antonio Bardem, Luis García Berlanga",294
131,Cielo Negro,ES,1951,Manuel Mur Oti,280
132,Meshi,JP,1951,Mikio Naruse,261
133,Il Cristo proibito,IT,1951,Curzio Malaparte,259
134,Parsifal,ES,1951,"Daniel Mangrané, Carlos Serrano de Osma",222
135,La señora de Fátima,ES,1951,Rafael Gil,206
136,La Table-aux-Crevés,FR,1951,Henri Verneuil,205
137,Le roman de Genji,JP,1951,Kôzaburô Yoshimura,200
138,Honrarás a tu madre,AR,1951,Alberto D'Aversa,198
139,Malliswari,IN,1951,B.N. Reddi,196
140,El final de una leyenda,ES,1951,Ricardo Gascón,187
141,Karhanova parta,"CZ, SK",1951,"Zdenek Hofbauer, Václav Wasserman",175
142,Surcos,ES,1951,José Antonio Nieves Conde,172
143,Der Verlorene,DE,1951,Peter Lorre,117
144,Thunder on the Hill,US,1951,Douglas Sirk,98
145,Fodboldpræsten,DK,1951,Alice O'Fredericks,75
146,His Kind of Woman,US,1951,"John Farrow, Richard Fleischer",68
147,Zvony z rákosu,CZ,1951,Václav Kubásek,60
148,Trotacalles,MX,1951,Matilde Landeta,54
149,Déryné,HU,1951,László Kalmár,51
150,The Big Night,US,1951,Joseph Losey,46
151,I figli di nessuno,"FR, IT",1951,Raffaello Matarazzo,44
152,Posel úsvitu,"CZ, SK",1951,Václav Krska,42
153,Fixed Bayonets!,US,1951,Samuel Fuller,40
154,Temno,"CZ, SK",1951,Karel Steklý,40
155,Muchachas de Uniforme,MX,1951,Alfredo B. Crevenna,38
156,Totò le Moko,IT,1951,Carlo Ludovico Bragaglia,35
157,Guardie e ladri,IT,1951,"Mario Monicelli,  Steno",34
158,Det gamle guld,DK,1951,"Jon Iversen, Alice O'Fredericks",30
159,Anna,"IT, FR",1951,Alberto Lattuada,25
160,"Hard, Fast and Beautiful!",US,1951,Ida Lupino,25
161,"Kungar, prinsar och prinsessor","SE, CA, NO",1951,"Ulla-Carin Grafström, Torill Kove",23
162,Slepice a kostelník,"CZ, SK",1951,"Oldrich Lipský, Jan Strejcek",22
163,Sensualidad,MX,1951,Alberto Gout,20
164,Westward the Women,US,1951,William A. Wellman,20
165,Die Vier im Jeep,CH,1951,"Leopold Lindtberg, Elizabeth Montagu",16
166,Chicago Calling,US,1951,John Reinhardt,15
167,Awaara,IN,1951,Raj Kapoor,12
168,The House on Telegraph Hill,US,1951,Robert Wise,12
169,Singin' in the Rain,US,1952,"Gene Kelly, Stanley Donen",705094
170,Fanfan la tulipe,FR,1952, Christian-Jaque,147370
171,Jeux interdits,FR,1952,René Clément,34171
172,The Bad and the Beautiful,US,1952,Vincente Minnelli,23781
173,5 Fingers,US,1952,Joseph L. Mankiewicz,23439
174,The Quiet Man,US,1952,John Ford,22837
175,Scaramouche,US,1952,George Sidney,20478
176,High Noon,US,1952,Fred Zinnemann,16956
177,Umberto D.,IT,1952,Vittorio De Sica,16697
178,Rancho Notorious,US,1952,Fritz Lang,16655
179,Monkey Business,US,1952,Howard Hawks,12778
180,Casque d'or,FR,1952,Jacques Becker,12563
181,The Big Sky,US,1952,Howard Hawks,11883
182,Ikiru,JP,1952,Akira Kurosawa,11144
183,The Tragedy of Othello: The Moor of Venice,"FR, US",1952,Orson Welles,11123
184,Le carrosse d'or,"FR, IT",1952,Jean Renoir,9519
185,Ochazuke no aji,JP,1952,Yasujirô Ozu,8885
186,The Snows of Kilimanjaro,US,1952,"Henry King, Roy Ward Baker",8348
187,Pat and Mike,US,1952,George Cukor,7152
188,Lo sceicco bianco,IT,1952,Federico Fellini,6798
189,Heidi,CH,1952,Luigi Comencini,6626
190,Le plaisir,FR,1952,Max Ophüls,6518
191,Clash by Night,US,1952,Fritz Lang,6155
192,Angel Face,US,1952,Otto Preminger,5904
193,Bend of the River,US,1952,Anthony Mann,5669
194,Mandy,GB,1952,Alexander Mackendrick,5420
195,Limelight,US,1952,Charles Chaplin,5335
196,Moulin rouge,GB,1952,John Huston,5113
197,Okaasan,JP,1952,Mikio Naruse,5026
198,Europa '51,IT,1952,Roberto Rossellini,4868
199,Saikaku ichidai onna,JP,1952,Kenji Mizoguchi,3868
200,Il cappotto,IT,1952,Alberto Lattuada,3673
201,Mogambo,US,1952,John Ford,3073
202,Viva Zapata!,US,1952,Elia Kazan,2919
203,Povídání o pejskovi a kočičce,"CZ, SK",1952,Eduard Hofman,2189
204,Due soldi di speranza,IT,1952,Renato Castellani,1504
205,La macchina ammazzacattivi,IT,1952,Roberto Rossellini,1501
206,La vérité sur Bébé Donge,FR,1952,Henri Decoin,1389
207,La tratta delle bianche,IT,1952,Luigi Comencini,1158
208,Palace Hotel,CH,1952,"Emil Berna, Leonard Steckel",783
209,Valkoinen peura,FI,1952,Erik Blomberg,755
210,La noche avanza,MX,1952,Roberto Gavaldón,636
211,Una mujer sin amor,MX,1952,Luis Buñuel,598
212,Pyšná princezna,"CZ, SK",1952,Borivoj Zeman,581
213,Les Miserables,US,1952,Lewis Milestone,518
214,The Narrow Margin,US,1952,"Richard Fleischer, William Cameron Menzies",515
215,Velké dobrodružství,"CZ, SK",1952,Milos Makovec,509
216,"Segundo López, aventurero urbano",ES,1952,Ana Mariscal,453
217,Don't Bother to Knock,US,1952,Roy Ward Baker,399
218,La minute de vérité,"FR, IT",1952,Jean Delannoy,304
219,Park Row,US,1952,Samuel Fuller,301
220,Kvinnors väntan,SE,1952,Ingmar Bergman,282
221,Císaruv pekar - Pekaruv císar,"CZ, SK",1952,Martin Fric,279
222,Le banquet des fraudeurs,"BE, DE",1952,Henri Storck,195
223,Thailand entdecken,DE,1952, Unknown Director(s),193
224,Divotvorný klobouk,"CZ, SK",1952,Alfred Radok,184
225,Erdei sportverseny,HU,1952,Gyula Macskássy,176
226,Det Store løb,DK,1952,Alice O'Fredericks,150
227,Haskovy povidky ze stareho mocnarstvi,"CZ, SK",1952,"Miroslav Hubácek, Oldrich Lipský",148
228,Akce B,"CZ, SK",1952,Josef Mach,108
229,Violetas imperiales,"ES, FR",1952,Richard Pottier,106
230,Ruby Gentry,US,1952,King Vidor,72
231,The Prisoner of Zenda,US,1952,Richard Thorpe,63
232,Deadline - U.S.A.,US,1952,Richard Brooks,62
233,Zítra se bude tancit vsude,"CZ, SK",1952,Vladimír Vlcek,59
234,The World in His Arms,US,1952,Raoul Walsh,56
235,Has Anybody Seen My Gal,US,1952,Douglas Sirk,52
236,Civil a pályán,HU,1952,Márton Keleti,50
237,Mikoláš Aleš,"CZ, SK",1952,Václav Krska,45
238,Genbaku no ko,JP,1952,Kaneto Shindô,44
239,Kansas City Confidential,US,1952,Phil Karlson,43
240,Poklad Ptacího ostrova,"CZ, SK",1952,Karel Zeman,42
241,Eldfågeln,"SE, IT",1952,Hasse Ekman,33
242,Way of a Gaucho,US,1952,Jacques Tourneur,29
243,Frosina,YU,1952,Vojislav Nanovic,28
244,Brelan d'as,FR,1952,Henri Verneuil,28
245,Tervetuloa aamukahville eli tottako toinen puoli,FI,1952,Eddie Stenberg,26
246,Houen zo,NL,1952,Georg Tressler,15
247,The Lusty Men,US,1952,"Robert Parrish, Nicholas Ray",14
248,Vacanze col gangster,IT,1952,Dino Risi,11
249,Ivanhoe,"GB, US",1952,Richard Thorpe,11
250,Racek má zpozdení,"CZ, SK",1952,Josef Mach,8
251,Les vacances de Monsieur Hulot,FR,1953,Jacques Tati,492065
252,Little Fugitive,US,1953,"Ray Ashley, Morris Engel, Ruth Orkin",276873
253,Tokyo monogatari,JP,1953,Yasujirô Ozu,133830
254,Peter Pan,US,1953,"Clyde Geronimi, Wilfred Jackson, Jack Kinney, Hamilton Luske",116295
255,Roman Holiday,US,1953,William Wyler,52812
256,I Vitelloni,"IT, FR",1953,Federico Fellini,46299
257,Ugetsu monogatari,JP,1953,Kenji Mizoguchi,41318
258,Gentlemen Prefer Blondes,US,1953,Howard Hawks,37315
259,Pünktchen und Anton,"DE, AT",1953,Thomas Engel,24133
260,The Big Heat,US,1953,Fritz Lang,23217
261,The Band Wagon,US,1953,Vincente Minnelli,20494
262,I Confess,US,1953,Alfred Hitchcock,20401
263,Fear and Desire,US,1953,Stanley Kubrick,19275
264,Sommaren med Monika,SE,1953,Ingmar Bergman,17318
265,Calamity Jane,US,1953,David Butler,15664
266,Jigokumon,JP,1953,Teinosuke Kinugasa,14431
267,Bienvenido Mister Marshall,ES,1953,Luis García Berlanga,11544
268,From Here to Eternity,US,1953,Fred Zinnemann,11338
269,Madame de...,"FR, IT",1953,Max Ophüls,11269
270,The Blue Gardenia,US,1953,Fritz Lang,10297
271,The Naked Spur,US,1953,Anthony Mann,10064
272,Él,MX,1953,Luis Buñuel,8872
273,Le salaire de la peur,FR,1953,Henri-Georges Clouzot,7692
274,Gion bayashi,JP,1953,Kenji Mizoguchi,7400
275,The Sun Shines Bright,US,1953,John Ford,7296
276,Die Geschichte vom kleinen Muck,DD,1953,Wolfgang Staudte,6275
277,"Pane, amore e fantasia",IT,1953,Luigi Comencini,4768
278,Knights of the Round Table,GB,1953,Richard Thorpe,4199
279,Anatahan,JP,1953,Josef von Sternberg,4103
280,How to Dance,US,1953,Jack Kinney,3936
281,The Moon is blue,US,1953,Otto Preminger,3904
282,The Bigamist,US,1953,Ida Lupino,3790
283,Non è mai troppo tardi,IT,1953,Filippo Walter Ratti,3785
284,La red,MX,1953,Emilio Fernández,3185
285,The Titfield Thunderbolt,GB,1953,Charles Crichton,3062
286,Det stora äventyret,SE,1953,Arne Sucksdorff,3001
287,Shane,US,1953,George Stevens,2993
288,The Hitch-Hiker,US,1953,Ida Lupino,2941
289,Il sole negli occhi,IT,1953,Antonio Pietrangeli,2780
290,Gycklarnas afton,SE,1953,Ingmar Bergman,2500
291,"The 5,000 Fingers of Dr. T.",US,1953,Roy Rowland,2314
292,The Man Between,GB,1953,Carol Reed,2237
293,Stalag 17,US,1953,Billy Wilder,2074
294,Niagara,US,1953,Henry Hathaway,1863
295,Kiss Me Kate,US,1953,George Sidney,1668
296,Far til fire,DK,1953,Alice O'Fredericks,1650
297,Man on a Tightrope,US,1953,Elia Kazan,1542
298,L'amore in città,IT,1953,"Michelangelo Antonioni, Federico Fellini, Alberto Lattuada, Carlo Lizzani, Francesco Maselli, Dino Risi, Cesare Zavattini",1283
299,Staré povesti ceské,"CZ, SK",1953,Jirí Trnka,1074
300,How to Marry a Millionaire,US,1953,Jean Negulesco,970
301,Der Baumeister des Sozialismus,DE,1953,"Ella Ensink, Theo Grandy",941
302,Julietta,FR,1953,Marc Allégret,924
303,La signora senza camelie,"IT, FR",1953,Michelangelo Antonioni,835
