Original title,Producing country,Production year,Directors,Admissions 1996-1996,Total EU27+GB since 1996
Independence Day,US,1996,Roland Emmerich,42 186 676,42 600 343
Mission: Impossible,US,1996,Brian De Palma,22 411 551,22 718 868
Se7en,US,1995,David Fincher,20 292 869,20 420 775
The Hunchback of Notre Dame,US,1996,"Gary Trousdale, Kirk Wise",19 576 371,24 660 478
Twister,US,1996,Jan de Bont,18 889 123,19 039 314
Toy Story,US,1995,John Lasseter,18 113 885,18 807 011
The Rock,US,1996,Michael Bay,16 511 947,16 828 183
The Nutty Professor,US,1996,Tom Shadyac,15 943 686,16 384 213
Jumanji,US,1995,Joe Johnston,13 237 471,13 298 839
Dangerous Minds,US,1995,John N. Smith,11 967 051,11 989 709
GoldenEye,"GBinc, US",1995,Martin Campbell,11 046 835,11 070 129
Babe,"AU, US",1995,Chris Noonan,10 549 641,10 621 705
Sense and Sensibility,"US, GB",1995,Ang Lee,10 346 450,10 375 938
Twelve Monkeys,US,1995,Terry Gilliam,10 110 055,10 348 799
Heat,US,1995,Michael Mann,9 936 691,9 964 674
Eraser,US,1996,Chuck Russell,9 227 852,9 341 118
Trainspotting,GB,1996,Danny Boyle,8 402 151,9 253 707
Spy Hard,US,1996,Rick Friedberg,6 912 414,6 990 772
Casino,US,1995,Martin Scorsese,6 281 693,6 324 541
Striptease,US,1996,Andrew Bergman,6 176 991,6 367 023
Ace Ventura: When Nature Calls,US,1995,Steve Oedekerk,5 874 786,5 922 418
The Birdcage,US,1996,Mike Nichols,5 756 715,5 760 620
101 Dalmatians,US,1996,Stephen Herek,5 370 174,21 623 260
Werner - Das muß kesseln!!!,DE,1996,"Udo Beissel, Michael Schaack",5 323 799,5 329 585
Dragonheart,US,1996,Rob Cohen,5 218 804,6 025 819
Jingle All The Way,US,1996,Brian Levant,5 148 973,6 887 853
Le huitième jour,"FR, BE, GB, LU",1996,Jaco van Dormael,4 993 660,5 266 302
Sleepers,US,1996,Barry Levinson,4 965 112,12 130 968
Up Close & Personal,US,1996,Jon Avnet,4 960 351,6 212 295
Les trois frères,FR,1995,"Didier Bourdon, Bernard Campan",4 929 623,4 979 731
Executive Decision,US,1996,Stuart Baird,4 857 378,4 873 081
Pocahontas,US,1995,"Mike Gabriel, Eric Goldberg",4 616 814,4 636 042
Broken Arrow,US,1996,John Woo,4 608 900,4 619 791
Dead Man Walking,US,1995,Tim Robbins,4 607 235,4 624 147
Phenomenon,US,1996,Jon Turteltaub,4 598 416,4 643 941
Pédale douce,FR,1996,Gabriel Aghion,4 459 470,4 538 281
Evita,"US, GB",1996,Alan Parker,4 379 988,13 420 144
Copycat,US,1995,Jon Amiel,4 324 806,4 337 538
Il postino,"IT, FR",1994,"Michael Radford, Massimo Troisi",4 221 213,4 398 558
Get Shorty,US,1995,Barry Sonnenfeld,4 212 742,4 219 606
Primal Fear,US,1996,Gregory Hoblit,4 173 136,4 199 869
A Time to Kill,US,1996,Joel Schumacher,4 091 588,4 141 197
Star Trek: First contact,US,1996,Jonathan Frakes,3 826 643,5 827 241
The Juror,US,1996,Brian Gibson,3 709 305,3 718 183
Mighty Aphrodite,US,1995,Woody Allen,3 624 869,3 659 014
Daylight,US,1996,Rob Cohen,3 603 211,7 372 634
From Dusk till Dawn,US,1996,Robert Rodriguez,3 549 273,4 168 340
Le bonheur est dans le pré,FR,1995,Étienne Chatiliez,3 548 414,3 618 308
The Cable Guy,US,1996,Ben Stiller,3 543 684,3 589 515
A Goofy Movie,US,1995,Kevin Lima,3 428 907,3 449 860
Secrets & Lies,GB,1996,Mike Leigh,3 398 370,4 418 676
Männerpension,DE,1996,Detlev Buck,3 366 340,3 366 912
Dracula: Dead and Loving It,US,1995,Mel Brooks,3 280 397,3 334 285
The Adventures of Pinocchio,"US, GB, CZ, DE, FR",1996,Steve Barron,3 279 759,3 887 425
The Craft,US,1996,Andrew Fleming,3 256 525,3 333 266
Braveheart,US,1995,Mel Gibson,3 098 843,3 145 576
Matilda,US,1996,Danny DeVito,3 046 260,4 452 605
The First Wives Club,US,1996,Hugh Wilson,3 012 626,8 824 849
Microcosmos : le peuple de l'herbe,"FR, IT, CH",1996,"Claude Nuridsany, Marie Pérennou",2 988 491,5 877 305
The Long Kiss Goodnight,US,1996,Renny Harlin,2 938 808,3 959 323
Chain Reaction,US,1996,Andrew Davis,2 861 614,3 035 325
Sudden Death,US,1995,Peter Hyams,2 794 555,2 824 137
Money Train,US,1995,Joseph Ruben,2 673 892,2 682 154
Le Jaguar,FR,1996,Francis Veber,2 660 369,2 784 053
Michael Collins,"US, IE",1996,Neil Jordan,2 586 341,3 807 951
Diabolique,US,1996,Jeremiah S. Chechik,2 557 353,2 566 508
The Quest,US,1996,Jean-Claude Van Damme,2 498 686,2 624 918
Leaving Las Vegas,US,1995,Mike Figgis,2 497 835,2 524 636
Sabrina,US,1995,Sydney Pollack,2 491 000,2 498 936
Showgirls,US,1995,Paul Verhoeven,2 465 344,2 473 700
Das Superweib,DE,1996,Sönke Wortmann,2 433 804,2 433 990
Stealing Beauty,"IT, FR, US",1996,Bernardo Bertolucci,2 322 440,2 394 789
Breaking the Waves,"DK, SE, FR, NL",1996,Lars von Trier,2 267 656,3 296 246
Fargo,US,1996,"Joel Coen, Ethan Coen",2 230 968,2 687 002
"Beaumarchais, l'insolent",FR,1996,Édouard Molinaro,2 030 207,2 070 827
Dunston Checks In,"US, CA",1996,Ken Kwapis,1 993 857,2 011 350
The Truth About Cats & Dogs,US,1996,Michael Lehmann,1 991 416,2 456 537
Fair Game,US,1995,Andrew Sipes,1 956 615,1 965 028
The Scarlet Letter,US,1995,Roland Joffé,1 953 137,1 974 513
Flipper,US,1996,"Alan Shapiro, Shelly Hatton",1 953 065,1 982 051
James and the Giant Peach,US,1996,Henry Selick,1 906 553,2 522 900
Multiplicity,US,1996,Harold Ramis,1 862 731,1 933 615
Emma,"US, GB",1996,Douglas McGrath,1 839 303,2 505 400
Tin Cup,US,1996,Ron Shelton,1 801 811,1 920 013
A spasso nel tempo,IT,1996,Carlo Vanzina,1 760 984,2 427 367
Jack,US,1996,Francis Ford Coppola,1 751 150,2 387 859
Smoke,US,1995,Wayne Wang,1 750 197,1 788 531
The Usual Suspects,US,1995,Bryan Singer,1 737 412,1 789 779
Ridicule,"FR, DE",1996,Patrice Leconte,1 703 126,2 758 828
Father of the Bride Part II,US,1995,Charles Shyer,1 660 184,1 661 412
Two Much,ES,1996,Fernando Trueba,1 642 742,1 644 465
Cutthroat Island,"US, IT, DE",1995,Renny Harlin,1 640 411,1 645 045
Un air de famille,FR,1996,Cédric Klapisch,1 598 457,2 661 650
Strange Days,US,1995,Kathryn Bigelow,1 592 978,1 607 260
Vampire in Brooklyn,US,1995,Wes Craven,1 585 920,1 601 242
Loch Ness,GB,1995,John Henderson,1 582 907,1 591 092
Crash,"CA, US",1996,David Cronenberg,1 527 141,1 871 796
Nine Months,US,1995,Chris Columbus,1 508 381,1 513 441
Irren ist männlich,DE,1996,Sherry Hormann,1 507 886,1 721 325
Antonia,"NL, BE, GB",1995,Marleen Gorris,1 491 769,1 788 188
The Fan,US,1996,Tony Scott,1 491 683,1 919 466
Last Man Standing,US,1996,Walter Hill,1 483 432,2 228 953
Muppet Treasure Island,US,1996,"Brian Henson, David Lane",1 478 074,1 481 443
