Rank,Movie,"Release
Date",Year,Distributor,Genre,1996 Gross,Tickets Sold
1,Independence Day,7/2/1996,1996,20th Century Fox,Adventure,"$306,169,255","69,269,062"
2,Twister,5/10/1996,1996,Warner Bros.,Action,"$241,688,385","54,680,630"
3,Mission: Impossible,5/21/1996,1996,Paramount Pictures,Action,"$180,981,886","40,946,128"
4,The Rock,6/7/1996,1996,Walt Disney,Action,"$134,069,511","30,332,468"
5,Ransom,11/8/1996,1996,Walt Disney,Action,"$129,181,606","29,226,607"
6,The Nutty Professor,6/28/1996,1996,Universal,Comedy,"$128,814,019","29,143,443"
7,The Birdcage,3/8/1996,1996,MGM,Comedy,"$124,060,553","28,067,998"
8,101 Dalmatians,11/27/1996,1996,Walt Disney,Adventure,"$121,795,758","27,555,601"
9,A Time to Kill,7/24/1996,1996,Warner Bros.,Drama,"$108,766,007","24,607,693"
10,The First Wives Club,9/20/1996,1996,Paramount Pictures,Comedy,"$104,670,012","23,680,998"
11,Phenomenon,7/5/1996,1996,Walt Disney,Drama,"$104,539,127","23,651,386"
12,Eraser,6/21/1996,1996,Warner Bros.,Action,"$101,295,562","22,917,547"
13,The Hunchback of Notre Dame,6/21/1996,1996,Walt Disney,Adventure,"$100,138,851","22,655,848"
14,Star Trek: First Contact,11/22/1996,1996,Paramount Pictures,Adventure,"$89,187,714","20,178,215"
15,Space Jam,11/15/1996,1996,Warner Bros.,Adventure,"$85,442,296","19,330,836"
16,Jerry Maguire,12/13/1996,1996,Sony Pictures,Romantic Comedy,"$83,338,125","18,854,779"
17,Mr. Holland's Opus,12/29/1995,1996,Walt Disney,Drama,"$82,450,788","18,654,024"
18,Broken Arrow,2/9/1996,1996,20th Century Fox,Action,"$70,645,997","15,983,257"
19,The Cable Guy,6/14/1996,1996,Sony Pictures,Black Comedy,"$60,240,295","13,629,026"
20,Courage Under Fire,7/12/1996,1996,20th Century Fox,Drama,"$59,003,384","13,349,181"
21,Jack,8/9/1996,1996,Walt Disney,Drama,"$58,554,258","13,247,569"
22,Jingle All the Way,11/22/1996,1996,20th Century Fox,Comedy,"$57,213,524","12,944,236"
23,12 Monkeys,12/27/1995,1996,Universal,Drama,"$56,838,334","12,859,351"
24,Executive Decision,3/15/1996,1996,Warner Bros.,Thriller/Suspense,"$56,679,192","12,823,346"
25,Primal Fear,4/5/1996,1996,Paramount Pictures,Thriller/Suspense,"$56,073,633","12,686,342"
26,Beavis and Butt-Head Do Ame…,12/20/1996,1996,Paramount Pictures,Comedy,"$54,196,996","12,261,763"
